fips_code,run_start_time_day,any_out,num_out_per_day,minutes_out,customers_out,customers_out_mean,cust_minute_area,customers_total,pct_out_max,pct_out_area
06073,2021-06-15,1,1,1440,6623,164.28125,236565,1362929,0.004859387392886937,0.00012053544241849722
06073,2021-06-16,1,1,1440,842,228.96875,329715,1362929,0.0006177871334456894,0.00016799756260230724
06073,2021-06-17,1,2,1380,1945,610.2282608695652,842115,1362929,0.0014270736039808383,0.0004290774378807211
06073,2021-06-18,1,2,1395,6134,544.6129032258065,759735,1362929,0.004500601278569903,0.0003871028865039925
06073,2021-06-19,1,2,1290,2740,339.33734939759034,422475,1362929,0.002010376182471721,0.00021526096859533157
06073,2021-06-20,1,3,1140,186,59.473684210526315,67800,1362929,0.00013647079194881024,3.4545697782740946e-05
06073,2021-06-21,1,2,1050,801,505.51428571428573,530790,1362929,0.0005877048621021345,0.0002704500136593078
06073,2021-06-22,1,1,1440,858,339.65625,489105,1362929,0.0006295265564090279,0.00024921052380571547
06073,2021-06-23,1,1,1440,3439,1433.28125,2063925,1362929,0.0025232422231825724,0.0010516184261982833
06073,2021-06-24,1,1,1440,2333,1083.28125,1559925,1362929,0.0017117546108417973,0.0007948185488752532
06073,2021-06-25,1,1,1440,2191,808.96875,1164915,1362929,0.001607567232042168,0.0005935516450233285
06073,2021-06-26,1,1,1440,1302,656.9479166666666,946005,1362929,0.0009552955436416717,0.000482011841164629
06073,2021-06-27,1,2,1110,2948,321.36486486486484,356715,1362929,0.0021629886809951216,0.00018175469888746955
06073,2021-06-28,1,2,1200,3694,1238.725,1486470,1362929,0.0027103392766607798,0.0007573914953261199
06073,2021-06-29,1,1,1440,1124,373.4270833333333,537735,1362929,0.0008246944631745307,0.0002739886548259912
06073,2021-06-30,1,1,1440,1264,421.7473684210526,600990,1362929,0.0009274144141037427,0.0003062185680007298
06073,2021-07-01,1,2,1395,989,280.43333333333334,378585,1362929,0.000725643081921362,0.00019289797927845103
06073,2021-07-02,1,2,1050,1460,56.44285714285714,59265,1362929,0.0010712223454046395,3.01969141459313e-05
06073,2021-07-03,1,1,1440,93,35.229166666666664,50730,1362929,6.823539597440512e-05,2.5848130509121655e-05
06073,2021-07-04,1,3,1200,469,142.5125,171015,1362929,0.00034411183561286024,8.71361726595198e-05
06073,2021-07-05,1,3,540,634,175.38888888888889,94710,1362929,0.0004651746349222887,4.8256976946952725e-05
06073,2021-07-06,1,2,1155,169,54.0,62370,1362929,0.00012399765505026307,3.177898481872497e-05
06073,2021-07-07,1,2,1305,2098,439.2298850574713,573195,1362929,0.0015393318360677629,0.00029205636048050434
06073,2021-07-08,1,1,1440,2129,698.8854166666666,1006395,1362929,0.0015620769680592312,0.0005127819693224421
06073,2021-07-09,1,1,1440,1822,654.84375,942975,1362929,0.0013368267899501736,0.0004804679847592941
06073,2021-07-10,1,2,1380,1617,481.5652173913044,664560,1362929,0.0011864154332323986,0.0003386089810987953
06073,2021-07-11,1,3,1320,3331,424.45454545454544,560280,1362929,0.0024440011181800373,0.00028547586362410174
06073,2021-07-12,1,1,1440,11203,1857.6666666666667,2675040,1362929,0.008219797216142587,0.001362995920305949
06073,2021-07-13,1,1,1440,2716,676.3020833333334,973875,1362929,0.001992767048026713,0.0004962122629523132
06073,2021-07-14,1,1,1440,1507,406.9583333333333,586020,1362929,0.0011057069003594464,0.00029859100021595645
